# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
1.0000e-04 4.4060e-07 -1.0835e-07 1.6624e-07 1.6613e-07 8.8960e-03 1.7791e-02
1.0093e-04 4.5708e-07 -1.1238e-07 1.7246e-07 1.7235e-07 9.0615e-03 1.8122e-02
1.0186e-04 4.7417e-07 -1.1657e-07 1.7892e-07 1.7880e-07 9.2300e-03 1.8459e-02
1.0280e-04 4.9189e-07 -1.2091e-07 1.8562e-07 1.8549e-07 9.4017e-03 1.8802e-02
1.0375e-04 5.1029e-07 -1.2541e-07 1.9257e-07 1.9244e-07 9.5766e-03 1.9152e-02
1.0472e-04 5.2936e-07 -1.3008e-07 1.9978e-07 1.9964e-07 9.7547e-03 1.9508e-02
1.0568e-04 5.4915e-07 -1.3492e-07 2.0726e-07 2.0711e-07 9.9361e-03 1.9871e-02
1.0666e-04 5.6968e-07 -1.3995e-07 2.1502e-07 2.1487e-07 1.0121e-02 2.0240e-02
1.0765e-04 5.9097e-07 -1.4515e-07 2.2307e-07 2.2291e-07 1.0309e-02 2.0617e-02
1.0865e-04 6.1307e-07 -1.5056e-07 2.3142e-07 2.3125e-07 1.0501e-02 2.1000e-02
1.0965e-04 6.3598e-07 -1.5616e-07 2.4009e-07 2.3991e-07 1.0696e-02 2.1391e-02
1.1067e-04 6.5975e-07 -1.6197e-07 2.4907e-07 2.4889e-07 1.0895e-02 2.1789e-02
1.1169e-04 6.8441e-07 -1.6800e-07 2.5840e-07 2.5821e-07 1.1098e-02 2.2194e-02
1.1273e-04 7.0999e-07 -1.7425e-07 2.6807e-07 2.6787e-07 1.1304e-02 2.2607e-02
1.1377e-04 7.3652e-07 -1.8073e-07 2.7811e-07 2.7789e-07 1.1515e-02 2.3027e-02
1.1482e-04 7.6405e-07 -1.8746e-07 2.8852e-07 2.8829e-07 1.1729e-02 2.3455e-02
1.1589e-04 7.9260e-07 -1.9443e-07 2.9932e-07 2.9908e-07 1.1947e-02 2.3891e-02
1.1696e-04 8.2221e-07 -2.0166e-07 3.1052e-07 3.1028e-07 1.2169e-02 2.4336e-02
1.1804e-04 8.5294e-07 -2.0916e-07 3.2214e-07 3.2189e-07 1.2396e-02 2.4788e-02
1.1913e-04 8.8481e-07 -2.1694e-07 3.3420e-07 3.3393e-07 1.2626e-02 2.5249e-02
1.2024e-04 9.1786e-07 -2.2501e-07 3.4671e-07 3.4643e-07 1.2861e-02 2.5719e-02
1.2135e-04 9.5216e-07 -2.3338e-07 3.5968e-07 3.5939e-07 1.3100e-02 2.6197e-02
1.2247e-04 9.8773e-07 -2.4205e-07 3.7315e-07 3.7284e-07 1.3344e-02 2.6685e-02
1.2361e-04 1.0246e-06 -2.5105e-07 3.8711e-07 3.8679e-07 1.3592e-02 2.7181e-02
1.2475e-04 1.0629e-06 -2.6038e-07 4.0160e-07 4.0126e-07 1.3845e-02 2.7686e-02
1.2591e-04 1.1026e-06 -2.7006e-07 4.1663e-07 4.1627e-07 1.4102e-02 2.8201e-02
1.2707e-04 1.1438e-06 -2.8010e-07 4.3222e-07 4.3185e-07 1.4365e-02 2.8726e-02
1.2825e-04 1.1865e-06 -2.9051e-07 4.4839e-07 4.4800e-07 1.4632e-02 2.9260e-02
1.2944e-04 1.2308e-06 -3.0131e-07 4.6517e-07 4.6476e-07 1.4904e-02 2.9804e-02
1.3063e-04 1.2768e-06 -3.1250e-07 4.8258e-07 4.8215e-07 1.5181e-02 3.0359e-02
1.3184e-04 1.3245e-06 -3.2411e-07 5.0063e-07 5.0019e-07 1.5464e-02 3.0923e-02
1.3306e-04 1.3739e-06 -3.3616e-07 5.1936e-07 5.1890e-07 1.5751e-02 3.1498e-02
1.3430e-04 1.4253e-06 -3.4864e-07 5.3880e-07 5.3831e-07 1.6044e-02 3.2084e-02
1.3554e-04 1.4785e-06 -3.6159e-07 5.5896e-07 5.5844e-07 1.6343e-02 3.2681e-02
1.3679e-04 1.5337e-06 -3.7502e-07 5.7987e-07 5.7933e-07 1.6647e-02 3.3289e-02
1.3806e-04 1.5909e-06 -3.8895e-07 6.0156e-07 6.0100e-07 1.6956e-02 3.3908e-02
1.3934e-04 1.6503e-06 -4.0339e-07 6.2407e-07 6.2347e-07 1.7272e-02 3.4538e-02
1.4063e-04 1.7120e-06 -4.1837e-07 6.4741e-07 6.4679e-07 1.7593e-02 3.5181e-02
1.4193e-04 1.7759e-06 -4.3390e-07 6.7163e-07 6.7098e-07 1.7920e-02 3.5835e-02
1.4324e-04 1.8422e-06 -4.5001e-07 6.9676e-07 6.9607e-07 1.8253e-02 3.6501e-02
1.4457e-04 1.9109e-06 -4.6672e-07 7.2282e-07 7.2210e-07 1.8593e-02 3.7180e-02
1.4591e-04 1.9822e-06 -4.8404e-07 7.4986e-07 7.4911e-07 1.8939e-02 3.7872e-02
1.4726e-04 2.0562e-06 -5.0200e-07 7.7790e-07 7.7712e-07 1.9291e-02 3.8576e-02
1.4862e-04 2.1330e-06 -5.2063e-07 8.0700e-07 8.0617e-07 1.9650e-02 3.9293e-02
1.5000e-04 2.2126e-06 -5.3995e-07 8.3718e-07 8.3632e-07 2.0015e-02 4.0024e-02
1.5139e-04 2.2952e-06 -5.5998e-07 8.6849e-07 8.6759e-07 2.0388e-02 4.0768e-02
1.5279e-04 2.3808e-06 -5.8075e-07 9.0097e-07 9.0002e-07 2.0767e-02 4.1526e-02
1.5420e-04 2.4696e-06 -6.0230e-07 9.3467e-07 9.3367e-07 2.1153e-02 4.2299e-02
1.5563e-04 2.5618e-06 -6.2463e-07 9.6962e-07 9.6858e-07 2.1547e-02 4.3085e-02
