# k[h/Mpc]   R1   R2 
# 
1.0000e-04 2.7208e-04 -6.8013e-05
1.0093e-04 2.7961e-04 -6.9896e-05
1.0186e-04 2.8735e-04 -7.1832e-05
1.0280e-04 2.9531e-04 -7.3821e-05
1.0375e-04 3.0349e-04 -7.5865e-05
1.0472e-04 3.1189e-04 -7.7966e-05
1.0568e-04 3.2053e-04 -8.0125e-05
1.0666e-04 3.2941e-04 -8.2344e-05
1.0765e-04 3.3853e-04 -8.4624e-05
1.0865e-04 3.4790e-04 -8.6967e-05
1.0965e-04 3.5754e-04 -8.9376e-05
1.1067e-04 3.6744e-04 -9.1850e-05
1.1169e-04 3.7761e-04 -9.4394e-05
1.1273e-04 3.8807e-04 -9.7007e-05
1.1377e-04 3.9882e-04 -9.9693e-05
1.1482e-04 4.0986e-04 -1.0245e-04
1.1589e-04 4.2121e-04 -1.0529e-04
1.1696e-04 4.3287e-04 -1.0821e-04
1.1804e-04 4.4486e-04 -1.1120e-04
1.1913e-04 4.5718e-04 -1.1428e-04
1.2024e-04 4.6984e-04 -1.1745e-04
1.2135e-04 4.8285e-04 -1.2070e-04
1.2247e-04 4.9622e-04 -1.2404e-04
1.2361e-04 5.0996e-04 -1.2747e-04
1.2475e-04 5.2408e-04 -1.3100e-04
1.2591e-04 5.3859e-04 -1.3463e-04
1.2707e-04 5.5350e-04 -1.3836e-04
1.2825e-04 5.6883e-04 -1.4219e-04
1.2944e-04 5.8458e-04 -1.4612e-04
1.3063e-04 6.0077e-04 -1.5017e-04
1.3184e-04 6.1740e-04 -1.5433e-04
1.3306e-04 6.3450e-04 -1.5860e-04
1.3430e-04 6.5207e-04 -1.6299e-04
1.3554e-04 6.7012e-04 -1.6751e-04
1.3679e-04 6.8868e-04 -1.7214e-04
1.3806e-04 7.0774e-04 -1.7691e-04
1.3934e-04 7.2734e-04 -1.8181e-04
1.4063e-04 7.4748e-04 -1.8684e-04
1.4193e-04 7.6817e-04 -1.9201e-04
1.4324e-04 7.8944e-04 -1.9733e-04
1.4457e-04 8.1130e-04 -2.0279e-04
1.4591e-04 8.3376e-04 -2.0840e-04
1.4726e-04 8.5684e-04 -2.1417e-04
1.4862e-04 8.8057e-04 -2.2010e-04
1.5000e-04 9.0495e-04 -2.2620e-04
1.5139e-04 9.3000e-04 -2.3246e-04
1.5279e-04 9.5575e-04 -2.3889e-04
1.5420e-04 9.8221e-04 -2.4551e-04
1.5563e-04 1.0094e-03 -2.5230e-04
1.5707e-04 1.0373e-03 -2.5929e-04
1.5853e-04 1.0661e-03 -2.6646e-04
1.5999e-04 1.0956e-03 -2.7384e-04
1.6147e-04 1.1259e-03 -2.8142e-04
1.6297e-04 1.1571e-03 -2.8921e-04
1.6448e-04 1.1891e-03 -2.9722e-04
1.6600e-04 1.2220e-03 -3.0544e-04
1.6754e-04 1.2559e-03 -3.1390e-04
1.6909e-04 1.2906e-03 -3.2259e-04
1.7065e-04 1.3264e-03 -3.3151e-04
1.7223e-04 1.3631e-03 -3.4069e-04
1.7383e-04 1.4008e-03 -3.5012e-04
1.7544e-04 1.4396e-03 -3.5981e-04
1.7706e-04 1.4794e-03 -3.6977e-04
1.7870e-04 1.5204e-03 -3.8000e-04
1.8035e-04 1.5625e-03 -3.9052e-04
1.8202e-04 1.6057e-03 -4.0133e-04
1.8371e-04 1.6502e-03 -4.1243e-04
1.8541e-04 1.6958e-03 -4.2385e-04
1.8713e-04 1.7428e-03 -4.3558e-04
1.8886e-04 1.7910e-03 -4.4763e-04
1.9061e-04 1.8406e-03 -4.6002e-04
1.9237e-04 1.8915e-03 -4.7275e-04
1.9415e-04 1.9439e-03 -4.8583e-04
1.9595e-04 1.9977e-03 -4.9928e-04
1.9776e-04 2.0530e-03 -5.1309e-04
1.9960e-04 2.1098e-03 -5.2729e-04
2.0144e-04 2.1682e-03 -5.4188e-04
2.0331e-04 2.2282e-03 -5.5688e-04
2.0519e-04 2.2898e-03 -5.7228e-04
2.0709e-04 2.3532e-03 -5.8812e-04
2.0901e-04 2.4183e-03 -6.0439e-04
2.1094e-04 2.4853e-03 -6.2112e-04
2.1289e-04 2.5540e-03 -6.3830e-04
2.1487e-04 2.6247e-03 -6.5596e-04
2.1685e-04 2.6974e-03 -6.7411e-04
2.1886e-04 2.7720e-03 -6.9276e-04
2.2089e-04 2.8487e-03 -7.1192e-04
2.2293e-04 2.9275e-03 -7.3162e-04
2.2500e-04 3.0085e-03 -7.5186e-04
2.2708e-04 3.0918e-03 -7.7266e-04
2.2918e-04 3.1773e-03 -7.9404e-04
2.3130e-04 3.2653e-03 -8.1600e-04
2.3344e-04 3.3556e-03 -8.3857e-04
2.3561e-04 3.4484e-03 -8.6177e-04
2.3779e-04 3.5439e-03 -8.8561e-04
2.3999e-04 3.6419e-03 -9.1011e-04
2.4221e-04 3.7427e-03 -9.3528e-04
2.4445e-04 3.8462e-03 -9.6115e-04
2.4672e-04 3.9526e-03 -9.8773e-04
2.4900e-04 4.0620e-03 -1.0151e-03
2.5130e-04 4.1743e-03 -1.0431e-03
2.5363e-04 4.2898e-03 -1.0720e-03
2.5598e-04 4.4085e-03 -1.1016e-03
2.5835e-04 4.5304e-03 -1.1321e-03
2.6074e-04 4.6558e-03 -1.1634e-03
2.6315e-04 4.7845e-03 -1.1956e-03
2.6559e-04 4.9169e-03 -1.2286e-03
2.6805e-04 5.0529e-03 -1.2626e-03
2.7053e-04 5.1926e-03 -1.2975e-03
2.7303e-04 5.3362e-03 -1.3334e-03
2.7556e-04 5.4838e-03 -1.3702e-03
2.7811e-04 5.6355e-03 -1.4081e-03
2.8069e-04 5.7913e-03 -1.4471e-03
2.8329e-04 5.9515e-03 -1.4871e-03
2.8591e-04 6.1161e-03 -1.5282e-03
2.8856e-04 6.2852e-03 -1.5704e-03
2.9123e-04 6.4590e-03 -1.6138e-03
2.9392e-04 6.6376e-03 -1.6584e-03
2.9664e-04 6.8212e-03 -1.7043e-03
2.9939e-04 7.0098e-03 -1.7514e-03
3.0216e-04 7.2036e-03 -1.7998e-03
3.0496e-04 7.4028e-03 -1.8496e-03
3.0778e-04 7.6074e-03 -1.9007e-03
3.1063e-04 7.8178e-03 -1.9532e-03
3.1351e-04 8.0339e-03 -2.0072e-03
3.1641e-04 8.2560e-03 -2.0626e-03
3.1934e-04 8.4842e-03 -2.1196e-03
3.2230e-04 8.7188e-03 -2.1782e-03
3.2528e-04 8.9598e-03 -2.2384e-03
3.2829e-04 9.2074e-03 -2.3003e-03
3.3133e-04 9.4619e-03 -2.3638e-03
3.3440e-04 9.7234e-03 -2.4291e-03
3.3749e-04 9.9922e-03 -2.4962e-03
3.4062e-04 1.0268e-02 -2.5652e-03
3.4377e-04 1.0552e-02 -2.6360e-03
3.4695e-04 1.0844e-02 -2.7088e-03
3.5016e-04 1.1143e-02 -2.7837e-03
3.5341e-04 1.1451e-02 -2.8606e-03
3.5668e-04 1.1768e-02 -2.9396e-03
3.5998e-04 1.2093e-02 -3.0207e-03
3.6331e-04 1.2427e-02 -3.1042e-03
3.6668e-04 1.2770e-02 -3.1899e-03
3.7007e-04 1.3123e-02 -3.2780e-03
3.7350e-04 1.3486e-02 -3.3685e-03
3.7695e-04 1.3858e-02 -3.4615e-03
3.8044e-04 1.4241e-02 -3.5570e-03
3.8397e-04 1.4634e-02 -3.6552e-03
3.8752e-04 1.5039e-02 -3.7561e-03
3.9111e-04 1.5454e-02 -3.8598e-03
3.9473e-04 1.5881e-02 -3.9664e-03
3.9838e-04 1.6319e-02 -4.0758e-03
4.0207e-04 1.6770e-02 -4.1883e-03
4.0579e-04 1.7233e-02 -4.3039e-03
4.0955e-04 1.7709e-02 -4.4227e-03
4.1334e-04 1.8198e-02 -4.5447e-03
4.1717e-04 1.8700e-02 -4.6701e-03
4.2103e-04 1.9216e-02 -4.7990e-03
4.2493e-04 1.9747e-02 -4.9314e-03
4.2886e-04 2.0292e-02 -5.0674e-03
4.3283e-04 2.0852e-02 -5.2072e-03
4.3684e-04 2.1428e-02 -5.3509e-03
4.4088e-04 2.2019e-02 -5.4984e-03
4.4496e-04 2.2627e-02 -5.6501e-03
4.4908e-04 2.3251e-02 -5.8059e-03
4.5324e-04 2.3893e-02 -5.9660e-03
4.5744e-04 2.4552e-02 -6.1305e-03
4.6167e-04 2.5230e-02 -6.2995e-03
4.6594e-04 2.5926e-02 -6.4732e-03
4.7026e-04 2.6641e-02 -6.6517e-03
4.7461e-04 2.7376e-02 -6.8350e-03
4.7901e-04 2.8131e-02 -7.0234e-03
4.8344e-04 2.8907e-02 -7.2170e-03
4.8792e-04 2.9704e-02 -7.4158e-03
4.9243e-04 3.0523e-02 -7.6202e-03
4.9699e-04 3.1365e-02 -7.8301e-03
5.0159e-04 3.2230e-02 -8.0459e-03
5.0624e-04 3.3119e-02 -8.2676e-03
5.1092e-04 3.4032e-02 -8.4953e-03
5.1565e-04 3.4970e-02 -8.7293e-03
5.2043e-04 3.5934e-02 -8.9697e-03
5.2524e-04 3.6924e-02 -9.2167e-03
5.3011e-04 3.7942e-02 -9.4705e-03
5.3501e-04 3.8988e-02 -9.7313e-03
5.3997e-04 4.0062e-02 -9.9992e-03
5.4496e-04 4.1166e-02 -1.0274e-02
5.5001e-04 4.2300e-02 -1.0557e-02
5.5510e-04 4.3466e-02 -1.0848e-02
5.6024e-04 4.4663e-02 -1.1146e-02
5.6543e-04 4.5894e-02 -1.1453e-02
5.7066e-04 4.7158e-02 -1.1768e-02
5.7594e-04 4.8456e-02 -1.2092e-02
5.8128e-04 4.9791e-02 -1.2425e-02
5.8666e-04 5.1162e-02 -1.2767e-02
5.9209e-04 5.2570e-02 -1.3118e-02
5.9757e-04 5.4018e-02 -1.3478e-02
6.0310e-04 5.5505e-02 -1.3849e-02
6.0868e-04 5.7033e-02 -1.4230e-02
6.1432e-04 5.8602e-02 -1.4621e-02
6.2001e-04 6.0215e-02 -1.5023e-02
6.2575e-04 6.1872e-02 -1.5436e-02
6.3154e-04 6.3574e-02 -1.5860e-02
6.3739e-04 6.5324e-02 -1.6296e-02
6.4329e-04 6.7120e-02 -1.6743e-02
6.4924e-04 6.8967e-02 -1.7203e-02
6.5525e-04 7.0863e-02 -1.7676e-02
6.6132e-04 7.2812e-02 -1.8161e-02
6.6744e-04 7.4814e-02 -1.8660e-02
6.7362e-04 7.6871e-02 -1.9173e-02
6.7985e-04 7.8985e-02 -1.9699e-02
6.8615e-04 8.1155e-02 -2.0240e-02
6.9250e-04 8.3386e-02 -2.0795e-02
6.9891e-04 8.5677e-02 -2.1366e-02
7.0538e-04 8.8032e-02 -2.1952e-02
7.1191e-04 9.0450e-02 -2.2554e-02
7.1850e-04 9.2935e-02 -2.3173e-02
7.2515e-04 9.5487e-02 -2.3808e-02
7.3187e-04 9.8110e-02 -2.4461e-02
7.3864e-04 1.0080e-01 -2.5132e-02
7.4548e-04 1.0357e-01 -2.5821e-02
7.5238e-04 1.0642e-01 -2.6529e-02
7.5935e-04 1.0934e-01 -2.7256e-02
7.6638e-04 1.1234e-01 -2.8002e-02
7.7347e-04 1.1542e-01 -2.8769e-02
7.8063e-04 1.1859e-01 -2.9558e-02
7.8786e-04 1.2184e-01 -3.0367e-02
7.9515e-04 1.2518e-01 -3.1199e-02
8.0251e-04 1.2862e-01 -3.2053e-02
8.0994e-04 1.3214e-01 -3.2930e-02
8.1744e-04 1.3577e-01 -3.3831e-02
8.2501e-04 1.3949e-01 -3.4757e-02
8.3265e-04 1.4331e-01 -3.5708e-02
8.4035e-04 1.4724e-01 -3.6685e-02
8.4813e-04 1.5127e-01 -3.7688e-02
8.5599e-04 1.5542e-01 -3.8719e-02
8.6391e-04 1.5968e-01 -3.9777e-02
8.7191e-04 1.6405e-01 -4.0865e-02
8.7998e-04 1.6854e-01 -4.1981e-02
8.8813e-04 1.7316e-01 -4.3128e-02
8.9635e-04 1.7790e-01 -4.4307e-02
9.0465e-04 1.8277e-01 -4.5517e-02
9.1302e-04 1.8777e-01 -4.6760e-02
9.2147e-04 1.9291e-01 -4.8036e-02
9.3000e-04 1.9818e-01 -4.9348e-02
9.3861e-04 2.0360e-01 -5.0694e-02
9.4730e-04 2.0917e-01 -5.2078e-02
9.5607e-04 2.1489e-01 -5.3498e-02
9.6492e-04 2.2077e-01 -5.4957e-02
9.7385e-04 2.2680e-01 -5.6456e-02
9.8287e-04 2.3300e-01 -5.7994e-02
9.9197e-04 2.3936e-01 -5.9575e-02
1.0012e-03 2.4590e-01 -6.1198e-02
1.0104e-03 2.5262e-01 -6.2865e-02
1.0198e-03 2.5952e-01 -6.4578e-02
1.0292e-03 2.6660e-01 -6.6336e-02
1.0387e-03 2.7388e-01 -6.8142e-02
1.0484e-03 2.8135e-01 -6.9997e-02
1.0581e-03 2.8903e-01 -7.1901e-02
1.0679e-03 2.9691e-01 -7.3857e-02
1.0777e-03 3.0501e-01 -7.5866e-02
1.0877e-03 3.1333e-01 -7.7928e-02
1.0978e-03 3.2187e-01 -8.0047e-02
1.1080e-03 3.3064e-01 -8.2222e-02
1.1182e-03 3.3965e-01 -8.4456e-02
1.1286e-03 3.4891e-01 -8.6750e-02
1.1390e-03 3.5841e-01 -8.9105e-02
1.1496e-03 3.6817e-01 -9.1524e-02
