#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.000000e-06 1.075461e+02 1.075465e+02 9.158314e-10 3.755310e+00 1.947944e+01 3.755965e+00 1.948236e+01 5.230361e-09 5.385787e-08 -1.426605e-07 -6.325531e-13 5.082199e+03 4.890849e+06 1.034706e+06 -2.333261e-03 -4.798540e-02 -2.163857e-01 -1.064656e-01 2.835272e-02 8.411693e-01 4.232002e-03 2.388573e-07 8.271222e-07 -1.432893e-07
1.002998e-06 1.075461e+02 1.075465e+02 9.198932e-10 3.755310e+00 1.947944e+01 3.755965e+00 1.948236e+01 5.254075e-09 5.407847e-08 -1.430299e-07 -6.365096e-13 5.075438e+03 4.877848e+06 1.031963e+06 -2.336659e-03 -4.806226e-02 -2.167307e-01 -1.066430e-01 2.840000e-02 8.414268e-01 4.231923e-03 2.398711e-07 8.298398e-07 -1.437700e-07
1.006005e-06 1.075461e+02 1.075465e+02 9.239729e-10 3.755310e+00 1.947944e+01 3.755965e+00 1.948236e+01 5.277896e-09 5.429997e-08 -1.434002e-07 -6.404909e-13 5.068686e+03 4.864881e+06 1.029229e+06 -2.340062e-03 -4.813924e-02 -2.170763e-01 -1.068206e-01 2.844736e-02 8.416844e-01 4.231844e-03 2.408892e-07 8.325664e-07 -1.442523e-07
1.009021e-06 1.075461e+02 1.075465e+02 9.280707e-10 3.755310e+00 1.947944e+01 3.755964e+00 1.948236e+01 5.301825e-09 5.452238e-08 -1.437714e-07 -6.444971e-13 5.061943e+03 4.851949e+06 1.026501e+06 -2.343469e-03 -4.821634e-02 -2.174224e-01 -1.069985e-01 2.849480e-02 8.419420e-01 4.231765e-03 2.419116e-07 8.353019e-07 -1.447363e-07
1.012047e-06 1.075461e+02 1.075465e+02 9.321867e-10 3.755310e+00 1.947944e+01 3.755964e+00 1.948236e+01 5.325863e-09 5.474570e-08 -1.441436e-07 -6.485283e-13 5.055210e+03 4.839051e+06 1.023781e+06 -2.346882e-03 -4.829357e-02 -2.177691e-01 -1.071767e-01 2.854232e-02 8.421998e-01 4.231686e-03 2.429383e-07 8.380465e-07 -1.452218e-07
1.015081e-06 1.075461e+02 1.075465e+02 9.363209e-10 3.755310e+00 1.947944e+01 3.755964e+00 1.948236e+01 5.350010e-09 5.496994e-08 -1.445167e-07 -6.525848e-13 5.048485e+03 4.826187e+06 1.021067e+06 -2.350300e-03 -4.837092e-02 -2.181163e-01 -1.073553e-01 2.858992e-02 8.424576e-01 4.231607e-03 2.439694e-07 8.408000e-07 -1.457090e-07
1.018124e-06 1.075461e+02 1.075465e+02 9.404735e-10 3.755310e+00 1.947944e+01 3.755964e+00 1.948236e+01 5.374266e-09 5.519509e-08 -1.448908e-07 -6.566666e-13 5.041768e+03 4.813357e+06 1.018361e+06 -2.353722e-03 -4.844839e-02 -2.184641e-01 -1.075341e-01 2.863760e-02 8.427155e-01 4.231528e-03 2.450049e-07 8.435626e-07 -1.461978e-07
1.021177e-06 1.075461e+02 1.075465e+02 9.446445e-10 3.755310e+00 1.947944e+01 3.755964e+00 1.948236e+01 5.398632e-09 5.542117e-08 -1.452658e-07 -6.607740e-13 5.035061e+03 4.800562e+06 1.015663e+06 -2.357150e-03 -4.852599e-02 -2.188124e-01 -1.077132e-01 2.868536e-02 8.429735e-01 4.231449e-03 2.460448e-07 8.463342e-07 -1.466882e-07
1.024238e-06 1.075461e+02 1.075465e+02 9.488340e-10 3.755310e+00 1.947944e+01 3.755964e+00 1.948236e+01 5.423109e-09 5.564817e-08 -1.456417e-07 -6.649070e-13 5.028363e+03 4.787800e+06 1.012971e+06 -2.360583e-03 -4.860372e-02 -2.191613e-01 -1.078926e-01 2.873320e-02 8.432316e-01 4.231370e-03 2.470891e-07 8.491150e-07 -1.471803e-07
1.027309e-06 1.075461e+02 1.075465e+02 9.530421e-10 3.755310e+00 1.947944e+01 3.755964e+00 1.948236e+01 5.447697e-09 5.587610e-08 -1.460186e-07 -6.690659e-13 5.021674e+03 4.775073e+06 1.010286e+06 -2.364020e-03 -4.868157e-02 -2.195108e-01 -1.080723e-01 2.878112e-02 8.434897e-01 4.231291e-03 2.481378e-07 8.519049e-07 -1.476741e-07
