# k, Q1, Q2, Q3, Q5, Q8, Qs2
1.000000000000000048e-04 4.406029071209169426e-07 -1.083482648944826774e-07 1.662369668337775606e-07 1.661275078489256444e-07 8.896001280087701898e-03 1.779068075145404104e-02
1.009257536193751702e-04 4.570772370138641791e-07 -1.123833501402967077e-07 1.724620530780819651e-07 1.723471336599522816e-07 9.061471188511381614e-03 1.812157114531172397e-02
1.018600774363880891e-04 4.741669309945200687e-07 -1.165684142200277747e-07 1.789196614333574922e-07 1.787994536085827574e-07 9.230018867804112848e-03 1.845861523481524824e-02
1.028030507899538109e-04 4.918949456825435800e-07 -1.209090087283574277e-07 1.856192931294952110e-07 1.854931658720046913e-07 9.401701563234381165e-03 1.880192744163170990e-02
1.037547537534699009e-04 5.102850935309293962e-07 -1.254109141677757230e-07 1.925693588045002304e-07 1.924372936266158851e-07 9.576577584740397775e-03 1.915162431420020309e-02
1.047152671416163260e-04 5.293620732783963561e-07 -1.300800907996113243e-07 1.997795935711849010e-07 1.996411966919252306e-07 9.754706326728198457e-03 1.950782456723655633e-02
1.056846725172182243e-04 5.491515035771412676e-07 -1.349227599326604567e-07 2.072596935199866863e-07 2.071145844055070561e-07 9.936148288238392037e-03 1.987064912196605249e-02
1.066630521981710566e-04 5.696799574959504491e-07 -1.399453295730360554e-07 2.150194026146377092e-07 2.148675287997029403e-07 1.012096509348869681e-02 2.024022114710491080e-02
1.076504892644316501e-04 5.909749975156504429e-07 -1.451544842924957889e-07 2.230698883020265271e-07 2.229104778108261389e-07 1.030921951279692439e-02 2.061666610060130383e-02
1.086470675650721946e-04 6.130652126769278920e-07 -1.505571243605882148e-07 2.314209966963981467e-07 2.312542694035655493e-07 1.050097548389285380e-02 2.100011177214767752e-02
1.096528717254007261e-04 6.359802555502045245e-07 -1.561604230174700703e-07 2.400851988144580444e-07 2.399101462499139302e-07 1.069629813362733307e-02 2.139068832648801516e-02
1.106679871541474359e-04 6.597508836863242631e-07 -1.619718169851413355e-07 2.490728974060692558e-07 2.488897703179198540e-07 1.089525380008355727e-02 2.178852834751605558e-02
1.116925000507166008e-04 6.844089990277565226e-07 -1.679989996712824159e-07 2.583973921634361720e-07 2.582052393802552932e-07 1.109791005510164970e-02 2.219376688320621668e-02
1.127264974125066012e-04 7.099876914201213624e-07 -1.742499851657924194e-07 2.680703227658827913e-07 2.678691021782188563e-07 1.130433572722004502e-02 2.260654149136583080e-02
1.137700670422977421e-04 7.365212823136276851e-07 -1.807330313157815998e-07 2.781052550730921006e-07 2.778943764111412172e-07 1.151460092504494326e-02 2.302699228624294214e-02
1.148232975557073634e-04 7.640453706478951331e-07 -1.874567625908793240e-07 2.885156920311966820e-07 2.882945655713329728e-07 1.172877706105138716e-02 2.345526198599083220e-02
1.158862783887151240e-04 7.925968797561523979e-07 -1.944300569317824244e-07 2.993151279879663269e-07 2.990836762741315684e-07 1.194693687582783215e-02 2.389149596101639711e-02
1.169590998052578382e-04 8.222141068450044825e-07 -2.016621790809223087e-07 3.105191925902989395e-07 3.102762381370179106e-07 1.216915446277479565e-02 2.433584228322905121e-02
1.180418529048936333e-04 8.529367754989309014e-07 -2.091626898304955439e-07 3.221414543708916186e-07 3.218873236014192364e-07 1.239550529326086288e-02 2.478845177619522569e-02
1.191346296305380705e-04 8.848060856640522637e-07 -2.169415279838597803e-07 3.341994009348633905e-07 3.339325668928139833e-07 1.262606624224148905e-02 2.524947806622598184e-02
1.202375227762719865e-04 9.178647715419251518e-07 -2.250089984092676252e-07 3.467073597262598803e-07 3.464281856182261537e-07 1.286091561435958285e-02 2.571907763440454270e-02
1.213506259952202416e-04 9.521571558325642221e-07 -2.333757585311925530e-07 3.596839488510940764e-07 3.593910023946278583e-07 1.310013317053090702e-02 2.619740986959431805e-02
1.224740338075054266e-04 9.877292115897196516e-07 -2.420529133789802281e-07 3.731452734544473456e-07 3.728384680036880841e-07 1.334380015502180210e-02 2.668463712240884411e-02
1.236078416082731684e-04 1.024628619938032295e-06 -2.510518994331663705e-07 3.871102324525904805e-07 3.867886831434027557e-07 1.359199932302812552e-02 2.718092476019643919e-02
1.247521456757931524e-04 1.062904836358512612e-06 -2.603846674691300399e-07 4.015976327346345694e-07 4.012604244954255845e-07 1.384481496877227637e-02 2.768644122303547464e-02
1.259070431796349969e-04 1.102609155818990125e-06 -2.700635113199431395e-07 4.166261506747890648e-07 4.162731687903545435e-07 1.410233295411949389e-02 2.820135808077153111e-02
1.270726321889187197e-04 1.143794779918002422e-06 -2.801012672612711941e-07 4.322176707654499699e-07 4.318471194291335434e-07 1.436464073772594427e-02 2.872585009111213242e-02
1.282490116806427928e-04 1.186516889941141012e-06 -2.905111745987491632e-07 4.483908702818424175e-07 4.480032331719232994e-07 1.463182740472713204e-02 2.926009525878443124e-02
1.294362815480892305e-04 1.230832716546683346e-06 -3.013069987543874005e-07 4.651702829477731627e-07 4.647632479512685703e-07 1.490398369698154105e-02 2.980427489581343597e-02
1.306345426093053028e-04 1.276801620981144043e-06 -3.125030129128626999e-07 4.825756209546010667e-07 4.821497135305578576e-07 1.518120204387581051e-02 3.035857368288868291e-02
1.318438966156649920e-04 1.324485167648120245e-06 -3.241139718194485389e-07 5.006329572968197568e-07 5.001860182868147681e-07 1.546357659369616659e-02 3.092317973188939834e-02
1.330644462605097859e-04 1.373947213279765817e-06 -3.361552576968672016e-07 5.193645615636140700e-07 5.188964253344771871e-07 1.575120324559580592e-02 3.149828464955177487e-02
1.342962951878678317e-04 1.425253984946589263e-06 -3.486427009639594706e-07 5.387967628284282266e-07 5.383061006436590611e-07 1.604417968214167864e-02 3.208408360232852669e-02
1.355395480012562754e-04 1.478474171605087640e-06 -3.615928541064983794e-07 5.589557544539427178e-07 5.584411486637261220e-07 1.634260540247491067e-02 3.268077538243500252e-02
1.367943102725626390e-04 1.533679015316919528e-06 -3.750227332189184116e-07 5.798673694936577389e-07 5.793286470507629516e-07 1.664658175608708587e-02 3.328856247512822220e-02
1.380606885510100618e-04 1.590942404204988289e-06 -3.889501127376434941e-07 6.015622618602674044e-07 6.009966826992732140e-07 1.695621197722194801e-02 3.390765112723129193e-02
1.393387903722053192e-04 1.650340974637062035e-06 -4.033933184477457782e-07 6.240661124528431701e-07 6.234743908277702535e-07 1.727160121992004499e-02 3.453825141691617417e-02
1.406287242672695675e-04 1.711954206252623961e-06 -4.183714058976106822e-07 6.474133590760100967e-07 6.467919910038932342e-07 1.759285659370813520e-02 3.518057732479751287e-02
1.419305997720548206e-04 1.775864534105008479e-06 -4.339041338101020443e-07 6.716310887316165180e-07 6.709808290087196019e-07 1.792008719995434249e-02 3.583484680630637242e-02
1.432445274364454839e-04 1.842157451839106669e-06 -4.500119196810049246e-07 6.967558278467200778e-07 6.960734195264886014e-07 1.825340416890407214e-02 3.650128186545263664e-02
1.445706188337452403e-04 1.910921631819191823e-06 -4.667160614530539862e-07 7.228183511671775796e-07 7.221034892305078318e-07 1.859292069740104206e-02 3.718010862990662330e-02
1.459089865701515684e-04 1.982249038590958433e-06 -4.840384570872941565e-07 7.498553329775465103e-07 7.491060213775680940e-07 1.893875208730450357e-02 3.787155742749323539e-02
1.472597442943183782e-04 2.056235049891774797e-06 -5.020020233375010735e-07 7.779032628867697758e-07 7.771173012031353518e-07 1.929101578462374608e-02 3.857586286409782350e-02
1.486230067070054919e-04 2.132978587084393799e-06 -5.206302975452523029e-07 8.069978402947980247e-07 8.061749673048047435e-07 1.964983141938430808e-02 3.929326390300736521e-02
1.499988895708197938e-04 2.212582240996374759e-06 -5.399478815442467833e-07 8.371820278624966228e-07 8.363180599256670529e-07 2.001532084622809071e-02 4.002400394573318865e-02
1.513875097200442278e-04 2.295152414775872045e-06 -5.599801277375947550e-07 8.684910860514383906e-07 8.675870746203593889e-07 2.038760818577246836e-02 4.076833091430061284e-02
1.527889850705593040e-04 2.380799456577288816e-06 -5.807533997154484474e-07 9.009733812027152431e-07 9.000240137104276365e-07 2.076681986673485289e-02 4.152649733509998498e-02
1.542034346298566010e-04 2.469637816331454576e-06 -6.022950362762223469e-07 9.346660898932192634e-07 9.336724455103892817e-07 2.115308466884395847e-02 4.229876042423892646e-02
1.556309785071433125e-04 2.561786184728831663e-06 -6.246332749460877531e-07 9.696203963234129323e-07 9.685775602483291471e-07 2.154653376654187130e-02 4.308538217452955593e-02
1.570717379235420151e-04 2.657367661245755245e-06 -6.477975863183776573e-07 1.005878806326495376e-06 1.004786231602616746e-06 2.194730077350298333e-02 4.388662944402222515e-02
1.585258352223846803e-04 2.756509910363637540e-06 -6.718182469951209680e-07 1.043492395373924271e-06 1.042347077591673846e-06 2.235552178797716935e-02 4.470277404622324813e-02
1.599933938796006317e-04 2.859345333428119571e-06 -6.967269661116907421e-07 1.082512002692104407e-06 1.081310526751800809e-06 2.277133543898243739e-02 4.553409284196459350e-02
1.614745385142020277e-04 2.966011245860998917e-06 -7.225562848657559749e-07 1.122986925637135419e-06 1.121728888497077436e-06 2.319488293335239190e-02 4.638086783296719445e-02
1.629693948988666225e-04 3.076650052300276344e-06 -7.493402334906360096e-07 1.164977402051316478e-06 1.163656417104719270e-06 2.362630810364508074e-02 4.724338625713325052e-02
1.644780899706165076e-04 3.191409443529479560e-06 -7.771138643095186926e-07 1.208531778857279744e-06 1.207149385207302366e-06 2.406575745695643462e-02 4.812194068558228038e-02
1.660007518415986319e-04 3.310442579984086770e-06 -8.059136307919561988e-07 1.253718021248410835e-06 1.252266161252997968e-06 2.451338022464059213e-02 4.901682912154121247e-02
1.675375098099622228e-04 3.433908310497537127e-06 -8.357773393545502759e-07 1.300587084861512166e-06 1.299067288203389665e-06 2.496932841295129712e-02 4.992835510097110019e-02
1.690884943708388264e-04 3.561971365831868669e-06 -8.667440168034423031e-07 1.349210717870528321e-06 1.347615560939368360e-06 2.543375685461867278e-02 5.085682779513984314e-02
1.706538372274238303e-04 3.694802587150478724e-06 -8.988544213069028290e-07 1.399647591719522155e-06 1.397976110515749626e-06 2.590682326138648434e-02 5.180256211501151759e-02
1.722336713021593033e-04 3.832579149252209157e-06 -9.321503872730849772e-07 1.451968832103064900e-06 1.450216495362354252e-06 2.638868827753545337e-02 5.276587881762315191e-02
1.738281307480215980e-04 3.975484793101644473e-06 -9.666757631270802014e-07 1.506245277003371295e-06 1.504406784750444923e-06 2.687951553438558752e-02 5.374710461439188153e-02
1.754373509599136316e-04 4.123710068914369208e-06 -1.002475506919527338e-06 1.562544928974586365e-06 1.560619654343338529e-06 2.737947170581335465e-02 5.474657228141995707e-02
1.770614685861609259e-04 4.277452583552242364e-06 -1.039596665812906245e-06 1.620952305123056222e-06 1.618930486666867261e-06 2.788872656480959750e-02 5.576462077186854216e-02
1.787006215401159583e-04 4.436917274130246152e-06 -1.078087672585761889e-06 1.681533588368501673e-06 1.679417467792429507e-06 2.840745304108307015e-02 5.680159533034374875e-02
1.803549490118694972e-04 4.602316659248428349e-06 -1.117998899118928781e-06 1.744384338980143242e-06 1.742161689437510586e-06 2.893582727972975749e-02 5.785784760948176064e-02
1.820245914800691373e-04 4.773871141927897033e-06 -1.159382594066940626e-06 1.809574288003757558e-06 1.807247262703176214e-06 2.947402870099893185e-02 5.893373578857207667e-02
1.837096907238485594e-04 4.951809276617799517e-06 -1.202292661381837866e-06 1.877204048007888703e-06 1.874761426368293603e-06 3.002224006116425634e-02 6.002962469449865668e-02
1.854103898348675138e-04 5.136368093586889488e-06 -1.246785433944354769e-06 1.947354549688482317e-06 1.944794667243234644e-06 3.058064751453197852e-02 6.114588592478319151e-02
1.871268332294612007e-04 5.327793389003483525e-06 -1.292918675730223528e-06 2.020124805113842948e-06 2.017440827523114764e-06 3.114944067657617402e-02 6.228289797298534186e-02
1.888591666609050902e-04 5.526340067819918262e-06 -1.340752986053872636e-06 2.095613550497084378e-06 2.092797248295873130e-06 3.172881268829187695e-02 6.344104635638028733e-02
1.906075372317901954e-04 5.732272470660709870e-06 -1.390350432866289220e-06 2.173914495851140861e-06 2.170964885783467827e-06 3.231896028169783247e-02 6.462072374598368252e-02
1.923720934065151688e-04 5.945864716012214659e-06 -1.441776015614204588e-06 2.255146291166252357e-06 2.252048449851160206e-06 3.292008384658388215e-02 6.582233009901973519e-02
1.941529850238937576e-04 6.167401081103084360e-06 -1.495096609923963625e-06 2.339399362955105470e-06 2.336156542720671598e-06 3.353238749848356376e-02 6.704627279372381288e-02
1.959503633098773736e-04 6.397176344010452472e-06 -1.550381775281318564e-06 2.426808162760551267e-06 2.423401801273186367e-06 3.415607914791485983e-02 6.829296676679766365e-02
1.977643808903971703e-04 6.635496214980763637e-06 -1.607703668610191995e-06 2.517467957329645904e-06 2.513901058902545374e-06 3.479137057091889751e-02 6.956283465319287873e-02
1.995951918043248937e-04 6.882677689506335161e-06 -1.667136688477147835e-06 2.611519886126124726e-06 2.607775477880421001e-06 3.543847748086768196e-02 7.085630692866684566e-02
2.014429515165520467e-04 7.139049509502766237e-06 -1.728758640246582481e-06 2.709075501053811998e-06 2.705150730503583693e-06 3.609761960165396022e-02 7.217382205477942958e-02
