# k, R1, R2
1.000000000000000048e-04 2.720570714767994421e-04 -6.800833138919946453e-05
1.009257536193751702e-04 2.795905620757190555e-04 -6.989143880780682128e-05
1.018600774363880891e-04 2.873335546904041450e-04 -7.182690988264824289e-05
1.028030507899538109e-04 2.952910942975473527e-04 -7.381600534724907787e-05
1.037547537534699009e-04 3.034675587219326791e-04 -7.585981914433118903e-05
1.047152671416163260e-04 3.118716795083933697e-04 -7.796053352511048997e-05
1.056846725172182243e-04 3.205083854094901313e-04 -8.011938010915150752e-05
1.066630521981710566e-04 3.293851177991932158e-04 -8.233821858923333987e-05
1.076504892644316501e-04 3.385056771315307633e-04 -8.461799849410248347e-05
1.086470675650721946e-04 3.478793466869005359e-04 -8.696103990039349171e-05
1.096528717254007261e-04 3.575133140481998842e-04 -8.936913898486976006e-05
1.106679871541474359e-04 3.674127233654854159e-04 -9.184358109252064044e-05
1.116925000507166008e-04 3.775871930786355740e-04 -9.438676999753997264e-05
1.127264974125066012e-04 3.880440170034181913e-04 -9.700052834830731098e-05
1.137700670422977421e-04 3.987882812590283466e-04 -9.968612689942622307e-05
1.148232975557073634e-04 4.098322741856071636e-04 -1.024466367336364803e-04
1.158862783887151240e-04 4.211803897926677640e-04 -1.052831555335367484e-04
1.169590998052578382e-04 4.328427707755539647e-04 -1.081982179606402148e-04
1.180418529048936333e-04 4.448276051174952436e-04 -1.111938700162037240e-04
1.191346296305380705e-04 4.571465373695848822e-04 -1.142730217041733792e-04
1.202375227762719865e-04 4.698039625306386631e-04 -1.174367708153364236e-04
1.213506259952202416e-04 4.828125652941324657e-04 -1.206882872773691774e-04
1.224740338075054266e-04 4.961823222513558765e-04 -1.240300640283476907e-04
1.236078416082731684e-04 5.099208645866260036e-04 -1.274640076832572267e-04
1.247521456757931524e-04 5.240407415524958720e-04 -1.309932541742636516e-04
1.259070431796349969e-04 5.385507091527584871e-04 -1.346199911915942082e-04
1.270726321889187197e-04 5.534627787536851350e-04 -1.383472201111678266e-04
1.282490116806427928e-04 5.687892994605426179e-04 -1.421780266759756304e-04
1.294362815480892305e-04 5.845381822119434566e-04 -1.461143871825883493e-04
1.306345426093053028e-04 6.007234392418672178e-04 -1.501598029875996952e-04
1.318438966156649920e-04 6.173578696395746719e-04 -1.543174721387958667e-04
1.330644462605097859e-04 6.344513114203389125e-04 -1.585898524586361736e-04
1.342962951878678317e-04 6.520182185819664144e-04 -1.629805555345371698e-04
1.355395480012562754e-04 6.700723316179352240e-04 -1.674930145329612098e-04
1.367943102725626390e-04 6.886262791492436678e-04 -1.721303846199600065e-04
1.380606885510100618e-04 7.076904640070810987e-04 -1.768952645284301592e-04
1.393387903722053192e-04 7.272857970692575341e-04 -1.817928795197540750e-04
1.406287242672695675e-04 7.474224921279760394e-04 -1.868257809128286520e-04
1.419305997720548206e-04 7.681174354624514897e-04 -1.919981878036098222e-04
1.432445274364454839e-04 7.893847362171786545e-04 -1.973136250244774184e-04
1.445706188337452403e-04 8.112411723119883344e-04 -2.027762844014674079e-04
1.459089865701515684e-04 8.336997771790699346e-04 -2.083894216972649030e-04
1.472597442943183782e-04 8.567823758544951479e-04 -2.141584901044196049e-04
1.486230067070054919e-04 8.805047719723628225e-04 -2.200874376082458865e-04
1.499988895708197938e-04 9.048816272536949062e-04 -2.261799266621365278e-04
1.513875097200442278e-04 9.299341141749681901e-04 -2.324412470046092636e-04
1.527889850705593040e-04 9.556799339227564812e-04 -2.388758205838067072e-04
1.542034346298566010e-04 9.821393478209063371e-04 -2.454887091393410307e-04
1.556309785071433125e-04 1.009328987428527490e-03 -2.522840670077207414e-04
1.570717379235420151e-04 1.037274870683308793e-03 -2.592683945391366027e-04
1.585258352223846803e-04 1.065992784565063939e-03 -2.664456346855945275e-04
1.599933938796006317e-04 1.095503983665234177e-03 -2.738210968975935658e-04
1.614745385142020277e-04 1.125831790171904784e-03 -2.814006072616503712e-04
1.629693948988666225e-04 1.157001503811729481e-03 -2.891904859823589435e-04
1.644780899706165076e-04 1.189031191542417243e-03 -2.971952452719473273e-04
1.660007518415986319e-04 1.221946297875211055e-03 -3.054212411780938825e-04
1.675375098099622228e-04 1.255772932480281844e-03 -3.138749958120974517e-04
1.690884943708388264e-04 1.290536046343974128e-03 -3.225627414785384867e-04
1.706538372274238303e-04 1.326260815176542483e-03 -3.314907664523902560e-04
1.722336713021593033e-04 1.362974609244311120e-03 -3.406659073114451917e-04
1.738281307480215980e-04 1.400703382456143899e-03 -3.500946464081532540e-04
1.754373509599136316e-04 1.439476545986327844e-03 -3.597843299796726381e-04
1.770614685861609259e-04 1.479320918339205142e-03 -3.697416560107668498e-04
1.787006215401159583e-04 1.520270612512534180e-03 -3.799751454213219637e-04
1.803549490118694972e-04 1.562350412215648661e-03 -3.904909871096956964e-04
1.820245914800691373e-04 1.605596892350748565e-03 -4.012983167825666690e-04
1.837096907238485594e-04 1.650036857032109901e-03 -4.124038277667543806e-04
1.854103898348675138e-04 1.695709892124424569e-03 -4.238174077269441105e-04
1.871268332294612007e-04 1.742644348422742922e-03 -4.355461359600489176e-04
1.888591666609050902e-04 1.790876898222266370e-03 -4.475991712876056490e-04
1.906075372317901954e-04 1.840447369235485332e-03 -4.599864608201512540e-04
1.923720934065151688e-04 1.891386194761698848e-03 -4.727156033522384132e-04
1.941529850238937576e-04 1.943736880659344655e-03 -4.857974645560774146e-04
1.959503633098773736e-04 1.997531279237107701e-03 -4.992399971437242075e-04
1.977643808903971703e-04 2.052818484140363307e-03 -5.130554625422021307e-04
1.995951918043248937e-04 2.109631733889359706e-03 -5.272521591054842938e-04
2.014429515165520467e-04 2.168020842123186392e-03 -5.418425273314035400e-04
2.033078169311926795e-04 2.228021665000799820e-03 -5.568355189135002674e-04
2.051899464049058497e-04 2.289684443667867799e-03 -5.722436802494147972e-04
2.070894997603430084e-04 2.353047489713224871e-03 -5.880765757549273349e-04
2.090066382997203141e-04 2.418168228191312687e-03 -6.043485462130363840e-04
2.109415248185143562e-04 2.485091121689004829e-03 -6.210706922459354211e-04
2.128943236192867080e-04 2.553863107574219030e-03 -6.382547324274732634e-04
2.148652005256365249e-04 2.624533238400286999e-03 -6.559129133789989852e-04
2.168543228962803188e-04 2.697167747401665178e-03 -6.740617748199816085e-04
2.188618596392639243e-04 2.771803868970779215e-03 -6.927106085684836111e-04
2.208879812263062222e-04 2.848498279131354838e-03 -7.118735645507058996e-04
2.229328597072734825e-04 2.927328639359336616e-03 -7.315700364885329701e-04
2.249966687247899105e-04 3.008328683856576619e-03 -7.518084394226603366e-04
2.270795835289832025e-04 3.091571577386204809e-03 -7.726070417867417347e-04
2.291817809923648414e-04 3.177109854345085572e-03 -7.939789554844109724e-04
2.313034396248498748e-04 3.265027263984913997e-03 -8.159450923876207691e-04
2.334447395889161750e-04 3.355360542265207070e-03 -8.385146146223291077e-04
2.356058627149012856e-04 3.448200311910442142e-03 -8.617101499634908590e-04
2.377869925164445499e-04 3.543606479160085667e-03 -8.855466490694176469e-04
2.399883142060689120e-04 3.641651360735966361e-03 -9.100421630154517357e-04
2.422100147109087880e-04 3.742399407461304700e-03 -9.352127762054214880e-04
2.444522826885841670e-04 3.845943350851790433e-03 -9.610816392119830636e-04
2.467153085432189676e-04 3.952340041038925229e-03 -9.876629348794714082e-04
2.489992844416101503e-04 4.061681434594590495e-03 -1.014979617814100281e-03
2.513044043295466147e-04 4.174049727023261026e-03 -1.043052202137227137e-03
2.536308639482763323e-04 4.289515123619501609e-03 -1.071898204491436753e-03
2.559788608511300392e-04 4.408176054198595893e-03 -1.101542193199863502e-03
2.583485944202947113e-04 4.530109030643508609e-03 -1.132003258190229312e-03
2.607402658837451701e-04 4.655416103152461293e-03 -1.163306869588965524e-03
2.631540783323324095e-04 4.784192687417776826e-03 -1.195476838135246540e-03
2.655902367370273440e-04 4.916521636389899197e-03 -1.228533833792150309e-03
2.680489479663271325e-04 5.052500525784013249e-03 -1.262502203893168390e-03
2.705304208038225057e-04 5.192246990155095256e-03 -1.297411306252123538e-03
2.730348659659247428e-04 5.335855336351119291e-03 -1.333284667824757418e-03
2.755624961197601576e-04 5.483431079400280170e-03 -1.370148614387889374e-03
2.781135259012293827e-04 5.635081352642432734e-03 -1.408029874139818784e-03
2.806881719332319407e-04 5.790927828118547227e-03 -1.446958806046661633e-03
2.832866528440615233e-04 5.951083009705896050e-03 -1.486963476052318659e-03
2.859091892859721941e-04 6.115644153778007630e-03 -1.528068138203037604e-03
2.885560039539132940e-04 6.284771972298846231e-03 -1.570312899406646088e-03
2.912273216044406919e-04 6.458566787309958333e-03 -1.613722774990476467e-03
2.939233690748031336e-04 6.637157636661230112e-03 -1.658329952782774171e-03
2.966443753022022806e-04 6.820682873743660543e-03 -1.704168945538935389e-03
2.993905713432352738e-04 7.009272153339420573e-03 -1.751272089897307595e-03
3.021621903935132634e-04 7.203080305832294111e-03 -1.799678009779688646e-03
3.049594678074641989e-04 7.402244917603691479e-03 -1.849421017711600813e-03
3.077826411183190664e-04 7.606895353542511042e-03 -1.900533369043498925e-03
3.106319500582800544e-04 7.817200500511370040e-03 -1.953057190372219304e-03
3.135076365788802446e-04 8.033323851197215343e-03 -2.007033257023411316e-03
3.164099448715267495e-04 8.255412187697930282e-03 -2.062498165900513662e-03
3.193391213882375962e-04 8.483614007134517368e-03 -2.119488938818241998e-03
3.222954148625700277e-04 8.718132577610088196e-03 -2.178056277439304432e-03
3.252790763307404891e-04 8.959135047511423630e-03 -2.238241855386547373e-03
3.282903591529421033e-04 9.206780373512390633e-03 -2.300085295666116046e-03
3.313295190348602287e-04 9.461256845939503696e-03 -2.363633545450683285e-03
3.343968140493837706e-04 9.722750714874545466e-03 -2.428933037561016670e-03
3.374925046585208646e-04 9.991480474589732597e-03 -2.496038255382829370e-03
3.406168537355170342e-04 1.026760941957818862e-02 -2.564989887334617833e-03
3.437701265871753904e-04 1.055137020310655330e-02 -2.635845943795019509e-03
3.469525909763864066e-04 1.084295426937529651e-02 -2.708654135057156874e-03
3.501645171448662403e-04 1.114257308588244115e-02 -2.783467168008540212e-03
3.534061778361024088e-04 1.145049620209330835e-02 -2.860352252770106095e-03
3.566778483185152203e-04 1.176686865041818263e-02 -2.939345488568728335e-03
3.599798064088333355e-04 1.209198981296539729e-02 -3.020521525290986459e-03
3.633123324956828086e-04 1.242609372437593167e-02 -3.103938681976362197e-03
3.666757095633975763e-04 1.276939002267084289e-02 -3.189649177029747762e-03
3.700702232160503111e-04 1.312217324976619123e-02 -3.277726429769220549e-03
3.734961617017022836e-04 1.348468413484608247e-02 -3.368230410176397890e-03
3.769538159368831295e-04 1.385718852030010106e-02 -3.461227353345708475e-03
3.804434795312912516e-04 1.423993856574808092e-02 -3.556780068689956338e-03
3.839654488127290069e-04 1.463327537635201840e-02 -3.654973573551509834e-03
3.875200228522629182e-04 1.503744737060411750e-02 -3.755869725341786855e-03
3.911075034896208395e-04 1.545274765197706367e-02 -3.859541533724811496e-03
3.947281953588238504e-04 1.587950999862009285e-02 -3.966072157528437517e-03
3.983824059140524468e-04 1.631806084442654833e-02 -4.075542911105573506e-03
4.020704454557552676e-04 1.676866957809325723e-02 -4.188020850729267178e-03
4.057926271569998154e-04 1.723171938797391292e-02 -4.303601444133066042e-03
4.095492670900632739e-04 1.770753819345545488e-02 -4.422366343593603713e-03
4.133406842532736129e-04 1.819644613300080288e-02 -4.544395246569648064e-03
4.171672005980983796e-04 1.869885661964241358e-02 -4.669791132780867424e-03
4.210291410564813387e-04 1.921508980095996272e-02 -4.798633676590603921e-03
4.249268335684354718e-04 1.974558132670979627e-02 -4.931031384163751807e-03
4.288606091098915774e-04 2.029065921883054305e-02 -5.067065869109549890e-03
4.328308017208007917e-04 2.085076662714938425e-02 -5.206847481553946583e-03
4.368377485335011657e-04 2.142627889445951339e-02 -5.350469622827313219e-03
4.408817898013470539e-04 2.201766252475794924e-02 -5.498048443256672857e-03
4.449632689275990908e-04 2.262532042571120672e-02 -5.649684195201752634e-03
4.490825324945859221e-04 2.324973896000220516e-02 -5.805497953245806683e-03
4.532399302931362285e-04 2.389130050334344751e-02 -5.965584808062843539e-03
4.574358153522784377e-04 2.455056513835544851e-02 -6.130084204762941032e-03
4.616705439692199452e-04 2.522792796931153450e-02 -6.299094374551912796e-03
4.659444757396040524e-04 2.592395690675363892e-02 -6.472756676135537832e-03
4.702579735880415873e-04 2.663912814854444561e-02 -6.651189547502807040e-03
4.746114037989332011e-04 2.737404226596689902e-02 -6.834542457205234484e-03
4.790051360475686766e-04 2.812906250231299310e-02 -7.022905596528051207e-03
4.834395434315219542e-04 2.890486341193996070e-02 -7.216446858515117128e-03
4.879150025023300556e-04 2.970203057461407586e-02 -7.415311895548087895e-03
4.924318932974692956e-04 3.052105753023900969e-02 -7.619623355679986179e-03
4.969905993726283491e-04 3.136269883515314244e-02 -7.829569022906067433e-03
5.015915078342747567e-04 3.222768846683245897e-02 -8.045331512612685990e-03
5.062350093725285312e-04 3.311638656074248482e-02 -8.267000083097081342e-03
5.109214982943389603e-04 3.402932904520201973e-02 -8.494707851651912833e-03
5.156513725569646621e-04 3.496730261859629096e-02 -8.728650503209790801e-03
5.204250338017679493e-04 3.593139591818118178e-02 -8.969099056215007817e-03
5.252428873883222037e-04 3.692162745448215877e-02 -9.216057368230418101e-03
5.301053424288303074e-04 3.793935151317352761e-02 -9.469862693419027824e-03
5.350128118228657335e-04 3.898497210236803040e-02 -9.730615044272966987e-03
5.399657122924367281e-04 4.005917395860521257e-02 -9.998484469152224205e-03
5.449644644173689233e-04 4.116312274911716057e-02 -1.027376101178592398e-02
5.500094926710206913e-04 4.229725533883766514e-02 -1.055655276735075442e-02
5.551012254563296141e-04 4.346250407949638073e-02 -1.084709145721256089e-02
5.602400951421874662e-04 4.466010792896571435e-02 -1.114568527071809791e-02
5.654265381001566133e-04 4.589022198226033050e-02 -1.145237184991130218e-02
5.706609947415265238e-04 4.715427272354572041e-02 -1.176750608410449643e-02
5.759439095547080108e-04 4.845297946497095082e-02 -1.209126632304121339e-02
5.812757311429814656e-04 4.978724800014686785e-02 -1.242387740156373870e-02
5.866569122625865055e-04 5.115815778320850771e-02 -1.276560743108500276e-02
5.920879098611720121e-04 5.256659804688113696e-02 -1.311667699626658037e-02
5.975691851165946308e-04 5.401389821964462656e-02 -1.347741645725544953e-02
6.031012034760815628e-04 5.550067030707980104e-02 -1.384797709755353212e-02
6.086844346957565651e-04 5.702855474179810424e-02 -1.422876673926390216e-02
6.143193528805259047e-04 5.859823009203246613e-02 -1.461995313793992661e-02
6.200064365243387974e-04 6.021078155939619397e-02 -1.502180543739777691e-02
6.257461685508218952e-04 6.186773073288281966e-02 -1.543470157616129261e-02
6.315390363542825120e-04 6.356978824311615428e-02 -1.585881709143044729e-02
6.373855318410986915e-04 6.531886423183617951e-02 -1.629462668495356217e-02
6.432861514714913491e-04 6.711529407473901254e-02 -1.674221211891143909e-02
6.492413963016779432e-04 6.896165073953333668e-02 -1.720221325202434676e-02
6.552517720264218817e-04 7.085819667381756948e-02 -1.767469347796863169e-02
6.613177890219764689e-04 7.280671289419377024e-02 -1.816009490109270902e-02
6.674399623894192732e-04 7.480894052026372532e-02 -1.865884956032512129e-02
6.736188119983948066e-04 7.686573771280608147e-02 -1.917116915485767362e-02
6.798548625312620438e-04 7.897883391117184460e-02 -1.969748259281905306e-02
6.861486435276432060e-04 8.114942146663826905e-02 -2.023808471270011414e-02
6.925006894293933221e-04 8.337976806458949341e-02 -2.079353841335028485e-02
6.989115396259838481e-04 8.567122875287580541e-02 -2.136417885669118777e-02
7.053817385003021854e-04 8.802524530056787810e-02 -2.195036270453622554e-02
7.119118354748794593e-04 9.044342260108648168e-02 -2.255248717047982424e-02
7.185023850585484009e-04 9.292840651242903482e-02 -2.317120888485000793e-02
7.251539468935240670e-04 9.548056827475631669e-02 -2.380661715603971107e-02
7.318670858029326619e-04 9.810287525694416644e-02 -2.445944847195784949e-02
7.386423718387681841e-04 1.007971744920646423e-01 -2.513015979877826836e-02
7.454803803303041137e-04 1.035644576390664512e-01 -2.581899469025512872e-02
7.523816919329437674e-04 1.064077037095479406e-01 -2.652669199588576429e-02
7.593468926775282955e-04 1.093283055688203248e-01 -2.725359494829093440e-02
7.663765740201034047e-04 1.123289387845926163e-01 -2.800036635426529988e-02
7.734713328921378681e-04 1.154110405117625276e-01 -2.876736011782486668e-02
7.806317717512153975e-04 1.185781873967409195e-01 -2.955546322977124774e-02
7.878584986321947835e-04 1.218309720443367106e-01 -3.036481867579451932e-02
7.951521271988372169e-04 1.251729802291077498e-01 -3.119631526812619363e-02
8.025132767959182499e-04 1.286062167864845118e-01 -3.205044753781688405e-02
8.099425725018227686e-04 1.321324832206862143e-01 -3.292765912463389150e-02
8.174406451816187491e-04 1.357555280103571183e-01 -3.382887861035058230e-02
8.250081315406303977e-04 1.394773617599264215e-01 -3.475460122379887135e-02
8.326456741785073128e-04 1.433004880088450950e-01 -3.570544476336948853e-02
8.403539216437855503e-04 1.472276412346402441e-01 -3.668208430010362620e-02
8.481335284889632503e-04 1.512624153578149000e-01 -3.768540872206700004e-02
8.559851553260841052e-04 1.554070665029194664e-01 -3.871597329612061489e-02
8.639094688828295341e-04 1.596640181447945839e-01 -3.977437468627790379e-02
8.719071420591361548e-04 1.640375902445022072e-01 -4.086168166666424850e-02
8.799788539843392005e-04 1.685295772803753755e-01 -4.197833353638998066e-02
8.881252900748345122e-04 1.731443055713761114e-01 -4.312539990915294913e-02
8.963471420922884854e-04 1.778843319597167849e-01 -4.430350926864691508e-02
9.046451082023737470e-04 1.827534251392379516e-01 -4.551359153896501059e-02
9.130198930340566914e-04 1.877551643484352828e-01 -4.675652904827565237e-02
